strategy,makespan,completed,tasks_done,tasks_total,fuel_violations,strand_events,stranded_frames,min_fuel,total_truck_distance,active_distance,detour_distance,detour_percentage,uptime_ratio,hold_frames,total_swaps,drone_flight_distance,drone_energy,drone_efficiency_percentage,max_route_length,truck_range,num_tasks,seed,maze,num_trucks,drones_per_station,service_frames,wall_time_s
reactive_drone,4094,True,36,36,1,1,1910,0.0,11820.0,8740.0,3080.0,26.06,0.3558,3734,2,1182.0,1418.4,423.01,2057.14,2000.0,36,2,maze.csv,6,1,1800,0.01
reactive_drone,3932,True,40,40,0,0,0,20.0,11374.0,9423.0,1951.0,17.15,0.3994,3647,2,567.0,680.4,881.83,2057.14,2000.0,40,3,maze.csv,6,1,1800,0.01
reactive_drone,4218,True,36,36,3,3,5897,0.0,12257.0,9762.0,2495.0,20.36,0.3857,7723,4,3279.0,3934.8,304.97,2171.43,2000.0,36,4,maze.csv,6,1,1800,0.02
reactive_drone,5515,True,40,40,3,3,7208,0.0,12254.0,10144.0,2110.0,17.22,0.3066,10858,5,3684.0,4420.8,339.31,2171.43,2000.0,40,5,maze.csv,6,1,1800,0.02
reactive_drone,4105,True,35,35,1,1,1916,0.0,11027.0,8996.0,2031.0,18.42,0.3652,3740,2,975.0,1170.0,512.82,2114.29,2000.0,35,6,maze.csv,6,1,1800,0.01
reactive_drone,4139,True,35,35,2,2,3853,0.0,11703.0,8939.0,2764.0,23.62,0.36,3855,2,1533.0,1839.6,326.16,2057.14,2000.0,35,7,maze.csv,6,1,1800,0.01
reactive_drone,4075,True,36,36,1,1,1901,0.0,11357.0,9023.0,2334.0,20.55,0.369,5548,3,1773.0,2127.6,423.01,2114.29,2000.0,36,8,maze.csv,6,1,1800,0.01
reactive_drone,5609,True,40,40,3,3,7309,0.0,12371.0,9613.0,2758.0,22.29,0.2856,10959,5,3198.0,3837.6,390.87,2171.43,2000.0,40,9,maze.csv,6,1,1800,0.02
reactive_drone,5777,True,39,39,1,1,3430,0.0,12675.0,10210.0,2465.0,19.45,0.2946,10725,5,4581.0,5497.2,272.87,2285.71,2000.0,39,10,maze.csv,6,1,1800,0.02
proactive_fuel,4086,True,38,38,0,0,0,75.0,16335.0,11616.0,4719.0,28.89,0.4738,1796,1,273.0,327.6,915.75,2228.57,2000.0,38,1,maze.csv,6,1,1800,0.03
proactive_fuel,3451,True,36,36,0,0,0,72.0,14982.0,10038.0,4944.0,33.0,0.4848,0,0,0.0,0.0,0.0,2057.14,2000.0,36,2,maze.csv,6,1,1800,0.02
proactive_fuel,3045,True,40,40,0,0,0,76.0,13465.0,10158.0,3307.0,24.56,0.556,0,0,0.0,0.0,0.0,2057.14,2000.0,40,3,maze.csv,6,1,1800,0.02
proactive_fuel,3965,True,36,36,0,0,0,138.0,15717.0,10891.0,4826.0,30.71,0.4578,1797,1,162.0,194.4,1543.21,2171.43,2000.0,36,4,maze.csv,6,1,1800,0.02
proactive_fuel,3750,True,40,40,0,0,0,76.0,17127.0,11872.0,5255.0,30.68,0.5276,0,0,0.0,0.0,0.0,2171.43,2000.0,40,5,maze.csv,6,1,1800,0.02
proactive_fuel,3969,True,35,35,0,0,0,127.0,12397.0,9593.0,2804.0,22.62,0.4028,1801,1,240.0,288.0,1041.67,2114.29,2000.0,35,6,maze.csv,6,1,1800,0.02
proactive_fuel,3278,True,35,35,0,0,0,83.0,14707.0,10065.0,4642.0,31.56,0.5117,0,0,0.0,0.0,0.0,2057.14,2000.0,35,7,maze.csv,6,1,1800,0.02
proactive_fuel,3969,True,36,36,0,0,0,78.0,13285.0,9640.0,3645.0,27.44,0.4048,1799,1,384.0,460.8,651.04,2114.29,2000.0,36,8,maze.csv,6,1,1800,0.02
proactive_fuel,4019,True,40,40,0,0,0,82.0,17072.0,11217.0,5855.0,34.3,0.4652,1797,1,633.0,759.6,394.94,2171.43,2000.0,40,9,maze.csv,6,1,1800,0.02
