Episode 270/1000  Total Reward: 246.00  Epsilon: 0.0517
Episode 271/1000  Total Reward: 210.00  Epsilon: 0.0514
Episode 272/1000  Total Reward: 294.00  Epsilon: 0.0512
Episode 273/1000  Total Reward: 250.00  Epsilon: 0.0509
Episode 274/1000  Total Reward: 294.00  Epsilon: 0.0506
Episode 275/1000  Total Reward: 334.00  Epsilon: 0.0504
Episode 276/1000  Total Reward: 260.00  Epsilon: 0.0501
Episode 277/1000  Total Reward: 290.00  Epsilon: 0.0499
Episode 278/1000  Total Reward: 252.00  Epsilon: 0.0496
Episode 279/1000  Total Reward: 296.00  Epsilon: 0.0494
Episode 280/1000  Total Reward: 298.00  Epsilon: 0.0491
Episode 281/1000  Total Reward: 214.00  Epsilon: 0.0489
Episode 282/1000  Total Reward: 300.00  Epsilon: 0.0487
Episode 283/1000  Total Reward: 218.00  Epsilon: 0.0484
Episode 284/1000  Total Reward: 296.00  Epsilon: 0.0482
Episode 285/1000  Total Reward: 210.00  Epsilon: 0.0479
Episode 286/1000  Total Reward: 296.00  Epsilon: 0.0477
Episode 287/1000  Total Reward: 256.00  Epsilon: 0.0475
Episode 288/1000  Total Reward: 252.00  Epsilon: 0.0472
Episode 289/1000  Total Reward: 298.00  Epsilon: 0.0470
Episode 290/1000  Total Reward: 258.00  Epsilon: 0.0467
Episode 291/1000  Total Reward: 298.00  Epsilon: 0.0465
Episode 292/1000  Total Reward: 242.00  Epsilon: 0.0463
Episode 293/1000  Total Reward: 254.00  Epsilon: 0.0460
Episode 294/1000  Total Reward: 250.00  Epsilon: 0.0458
Episode 295/1000  Total Reward: 296.00  Epsilon: 0.0456
Episode 296/1000  Total Reward: 254.00  Epsilon: 0.0454
Episode 297/1000  Total Reward: 252.00  Epsilon: 0.0451
Episode 298/1000  Total Reward: 292.00  Epsilon: 0.0449
Episode 299/1000  Total Reward: 256.00  Epsilon: 0.0447
Episode 300/1000  Total Reward: 256.00  Epsilon: 0.0445
Episode 301/1000  Total Reward: 216.00  Epsilon: 0.0442
Episode 302/1000  Total Reward: 178.00  Epsilon: 0.0440
Episode 303/1000  Total Reward: 294.00  Epsilon: 0.0438
Episode 304/1000  Total Reward: 254.00  Epsilon: 0.0436
Episode 305/1000  Total Reward: 294.00  Epsilon: 0.0434
Episode 306/1000  Total Reward: 248.00  Epsilon: 0.0431
Episode 307/1000  Total Reward: 214.00  Epsilon: 0.0429
Episode 308/1000  Total Reward: 298.00  Epsilon: 0.0427
Episode 309/1000  Total Reward: 296.00  Epsilon: 0.0425
